City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
399,celestun,MX,88.84,overcast clouds,20.8667,-90.4,Posada Lilia
401,biak,ID,76.91,overcast clouds,-0.9131,122.8766,Penginapan Kim
406,vila velha,BR,78.75,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
408,epe,NG,78.69,broken clouds,6.5841,3.9834,MAGVILLE HOTEL
417,black river,JM,86.99,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
425,katherine,AU,84.52,few clouds,-14.4667,132.2667,Pine Tree Motel
427,cockburn town,TC,85.96,few clouds,21.4612,-71.1419,Osprey Beach Hotel
432,dhidhdhoo,MV,81.93,overcast clouds,6.8833,73.1,Dhidhoo beach
433,boa vista,BR,78.78,light rain,2.8197,-60.6733,Aipana Plaza Hotel
435,rocha,UY,84.47,clear sky,-34.4833,-54.3333,Beleza Pura B&B
441,makakilo city,US,77.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
446,santa rosa,PH,80.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
451,abu dhabi,AE,86.11,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
454,singapore,SG,80.55,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
455,vung tau,VN,77.0,moderate rain,10.346,107.0843,Green hotel
457,sao joao da barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
458,cururupu,BR,88.0,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
462,bonthe,SL,79.3,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
465,mogadishu,SO,80.19,few clouds,2.0371,45.3438,Hotel Juba
470,tabou,CI,78.1,overcast clouds,4.423,-7.3528,hotêl doufoulougou
472,cabedelo,BR,77.67,clear sky,-6.9811,-34.8339,Hotel Pigalle
475,choma,ZM,75.45,few clouds,-16.8065,26.9531,Kamuboola Lodge
476,gizo,SB,81.09,broken clouds,-8.103,156.8419,Imagination Island
483,aswan,EG,88.9,clear sky,24.0934,32.907,Nuba Nile
485,bandarbeyla,SO,78.55,clear sky,9.4942,50.8122,JABIR HOTEL
486,sabha,LY,75.34,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
493,buraydah,SA,84.65,clear sky,26.326,43.975,فندق راحة السلام
496,samfya,ZM,83.79,broken clouds,-11.3649,29.5565,Chita Lodge Samfya
497,sinnamary,GF,82.15,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
502,nizwa,OM,82.72,few clouds,22.9333,57.5333,Orient Apartments
505,bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
